Name, Team, Matches, Innings, Runs, NotOuts, Highest Score, Average, Hundreds, Fifties, Ducks, Sixes, Fours, Balls
RS Vasconcelos, Northamptonshire; Boland, 22, 39, 1395, 4, 185*, 39.85, 3, 7, 2, 2, 195, 2417
J Seymour, Sussex; Northamptonshire, 51, 87, 1366, 7, 84*, 17.07, 0, 6, 8, 0, 0, 0
AW Snowden, Northamptonshire, 43, 78, 1357, 1, 105, 17.62, 1, 6, 7, 0, 0, 0
L Klusener, Dolphins; Natal B; KwaZulu-Natal; South Africa Under-24s; South Africa A; South Africans; South Africa; Natal; Northamptonshire; Nottinghamshire; Middlesex, 23, 34, 1355, 8, 202*, 52.11, 3, 7, 4, 4, 178, 2131
N Boje, Eagles; Warriors; South Africa Academy; Free State; Griqualand West and North West Combined XI; South Africa A; Free State; South African Students; South Africa Under-24s; Orange Free State B; Nottinghamshire; South Africa; Northamptonshire; Orange Free State; South Africans, 22, 36, 1336, 5, 226*, 43.09, 2, 8, 1, 7, 193, 2151
KV Andrew, North; Players; Marylebone Cricket Club; England; England XI; Combined Services; AER Gilligan's XI; Northamptonshire; TN Pearce's XI; Commonwealth XI, 137, 153, 1321, 59, 51, 14.05, 0, 1, 16, 0, 0, 0
WH Kingston, Gentlemen; Northamptonshire, 42, 77, 1279, 0, 76, 16.61, 0, 3, 5, 0, 0, 0
D Ramsamooj, Northamptonshire; Commonwealth XI; AER Gilligan's XI; Trinidad, 31, 54, 1263, 5, 132, 25.77, 3, 3, 4, 0, 0, 0
KC James, Wellington; Northamptonshire; New Zealanders; New Zealand Services; New Zealand; Sir L Parkinson's XI, 34, 62, 1246, 8, 105*, 23.07, 1, 5, 8, 0, 0, 0
CJL Rogers, Australia A; Northamptonshire; Leicestershire; Western Australia; Marylebone Cricket Club; Australia; Somerset; Australians; Middlesex; Derbyshire; Victoria, 15, 22, 1208, 1, 319, 57.52, 4, 5, 0, 3, 176, 2013
FE Woolley, Players of the South; South; Over 30; The Rest; Players; Kent; Marylebone Cricket Club; England; England XI; GL Jessop's XI; Lord Cowdray's XI; Royal Air Force; Capped; Marylebone Cricket Club South African Touring Team; CB Fry's XI; LH Tennyson's XI; LG Robinson's XI; Marylebone Cricket Club Australian Touring Team; CI Thornton's XI; England Past and Present, 20, 29, 1190, 2, 217, 44.07, 3, 4, 0, 0, 0, 0
GL Berry, Leicestershire; The Rest; North; England XI, 21, 37, 1188, 3, 124, 34.94, 2, 8, 3, 1, 12, 0
MJK Smith, International Cavaliers; DH Robins' XI; TN Pearce's XI; Indian Board President's XI; Warwickshire; Leicestershire; Marylebone Cricket Club; Gentlemen; Oxford University; England XI; England; Gentlemen of England; The Rest, 15, 29, 1174, 4, 127*, 46.96, 1, 10, 0, 0, 0, 0
KJ Coetzer, ICC Combined Associate and Affiliate XI; Northamptonshire; Scotland; Durham, 22, 34, 1149, 2, 122, 35.9, 1, 8, 0, 6, 169, 2340
ML Love, Australians; Australian XI; Australia; Young Australia; Durham; Australia A; Northamptonshire; Queensland, 10, 18, 1131, 2, 177, 70.68, 3, 6, 0, 0, 177, 2057
ML Hayden, Australia A; Young Australia; Northamptonshire; Queensland; Hampshire; Australians; Australian XI; Australia, 13, 18, 1124, 0, 170, 62.44, 5, 2, 1, 8, 171, 1659
KWR Fletcher, Marylebone Cricket Club President's XI; Marylebone Cricket Club Under-25s; England Under-25s; Marylebone Cricket Club Touring Team; International Cavaliers; International XI; Young England; England XI; Marylebone Cricket Club; England; Essex; TN Pearce's XI, 20, 27, 1123, 7, 134*, 56.15, 2, 9, 1, 0, 0, 0
DJ Willey, Northamptonshire; Yorkshire, 30, 42, 1106, 5, 104*, 29.89, 1, 9, 3, 30, 117, 1579
LA Procter, Lancashire; Northamptonshire, 24, 41, 1105, 11, 86*, 36.83, 0, 7, 2, 7, 123, 2454
ME Scott, Combined Services; Northamptonshire, 75, 101, 1084, 32, 48, 15.71, 0, 0, 12, 0, 2, 0
JDB Robertson, Sir PF Warner's XI; South; Middlesex; Players; Marylebone Cricket Club; England; The Rest; England XI; LEG Ames' XI, 12, 21, 1032, 1, 144, 51.6, 3, 6, 2, 0, 9, 0
WC Brown, Northamptonshire, 47, 78, 1024, 8, 103*, 14.62, 1, 1, 9, 0, 0, 0
JP Taylor, Northamptonshire; England A; Derbyshire; England XI; England, 80, 93, 1024, 27, 86, 15.51, 0, 4, 13, 3, 81, 1868
WG Quaife, The Rest; England XI; WG Grace's XI; Players; Players of the South; England; North; Midland Counties; Griqualand West; London County; AC MacLaren's XI; HDG Leveson-Gower's XI; Warwickshire; HK Foster's XI; SH Cochrane's XI, 16, 27, 1021, 7, 147*, 51.05, 2, 8, 2, 0, 13, 0
JJ Cobb, Northamptonshire; Leicestershire, 28, 46, 1014, 6, 139, 25.35, 1, 5, 12, 15, 131, 1974
BM Shafayat, Matabeleland Tuskers; Hampshire; Nottinghamshire; England A; National Bank of Pakistan; Habib Bank Limited; Pakistan Customs; Northamptonshire, 19, 32, 1013, 1, 153, 32.67, 2, 7, 5, 9, 136, 1963
HTW Hardinge, The Rest; South; Players; Kent; England; LG Robinson's XI; JR Mason's XI; Lord Cowdray's XI; Royal Air Force; Capped, 19, 31, 1007, 3, 125, 35.96, 3, 4, 2, 0, 22, 0
RW Clarke, Northamptonshire; Under 32; South; North; Marylebone Cricket Club, 74, 86, 1002, 27, 51*, 16.98, 0, 2, 9, 0, 0, 0
AI Kallicharran, Transvaal; West Indians; West Indies XI; Warwickshire; Queensland; West Indies; Orange Free State; West Indies Board President's XI; Rest of the World XI; Guyana; Berbice, 13, 23, 1001, 5, 170*, 55.61, 3, 6, 4, 0, 10, 0
