Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
A Nel, Northamptonshire; Essex; South Africans; South Africa; Lions; Titans; Surrey; South Africa A; Easterns; South Africa Academy; Gauteng; South African Board President's XI, 9, 16, 1792, 68, 874, 34, 25.7, 0, 0, 1, 0, 6/36, 7/73
WT Nevell, Northamptonshire; Marylebone Cricket Club; Surrey; Middlesex, 15, 23, 2438, 74, 1114, 34, 32.76, 0, 0, 0, 0, 4/24, 6/101
JN Snape, First-Class Counties Select XI; Combined Universities; Northamptonshire; Leicestershire; Gloucestershire, 22, 33, 2875, 104, 1456, 34, 42.82, 0, 0, 1, 0, 5/65, 5/65
TG Wass, England XI; Players; Nottinghamshire, 5, 10, 1102, 41, 457, 34, 13.44, 0, 0, 4, 1, 6/25, 11/90
F Barratt, Nottinghamshire; North; England XI; England; Marylebone Cricket Club; Players; J Sharp's XI, 11, 21, 1608, 75, 652, 33, 19.75, 0, 0, 1, 0, 5/53, 8/143
GJ Batty, ECB National Academy; England Lions; Marylebone Cricket Club; England XI; Surrey; Yorkshire; England; Worcestershire; England A, 8, 14, 1745, 72, 827, 33, 25.06, 0, 0, 1, 1, 7/52, 10/113
HRA Kelleher, Northamptonshire; Surrey, 19, 32, 2302, 108, 889, 33, 26.93, 0, 0, 1, 0, 5/85, 7/137
JF Steele, Young England; Natal B; England Under-25s; DH Robins' XI; Leicestershire; TN Pearce's XI; Glamorgan; Natal, 12, 17, 1682, 90, 613, 33, 18.57, 0, 0, 2, 0, 6/33, 9/83
LW Cook, J Sharp's XI; Lancashire; North; Players, 8, 13, 1028, 45, 432, 32, 13.5, 0, 0, 3, 1, 8/39, 11/61
GR Cox, Players of the South; Marylebone Cricket Club; Sussex; South; Kent and Sussex, 11, 19, 2031, 99, 771, 32, 24.09, 0, 0, 3, 0, 5/33, 8/113
JWHT Douglas, Marylebone Cricket Club; Gentlemen of England; England; Gentlemen of the South; Gentlemen; South; England XI; The Rest; Free Foresters; Marylebone Cricket Club South African Touring Team; LG Robinson's XI; CI Thornton's XI; Lord Londesborough's XI; Essex; HDG Leveson-Gower's XI; Marylebone Cricket Club Australian Touring Team; London County, 11, 17, 1727, 44, 887, 32, 27.71, 0, 0, 3, 0, 5/53, 8/124
